epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770115807,startup,imgA,5.47,66165146,1073741824,642,126,463000,20700000,12
1770115807,startup,imgB,64.94,56182702,1073741824,308,84,28700,61400,12
1770115810,startup,imgA,0.37,66301460,1073741824,712,126,463000,20700000,12
1770115810,startup,imgB,0.00,56172216,1073741824,600,126,28700,61400,12
1770115813,startup,imgA,0.02,66301460,1073741824,712,126,463000,20700000,12
1770115813,startup,imgB,0.00,56172216,1073741824,670,126,28700,61400,12
1770115816,startup,imgA,0.00,57891881,1073741824,712,126,463000,20700000,12
1770115816,startup,imgB,3.06,47972352,1073741824,670,126,28700,61400,12
1770115819,startup,imgA,0.00,57891881,1073741824,782,126,463000,20700000,12
1770115819,startup,imgB,0.00,47972352,1073741824,740,126,28700,61400,12
1770115822,startup,imgA,0.03,57891881,1073741824,782,126,463000,20700000,12
1770115822,startup,imgB,0.05,47982838,1073741824,740,126,28700,61400,12
1770115824,startup,imgA,0.00,57891881,1073741824,782,126,463000,20700000,12
1770115824,startup,imgB,0.00,47982838,1073741824,740,126,28700,61400,12
1770115827,startup,imgA,0.00,57891881,1073741824,782,126,463000,20700000,12
1770115827,startup,imgB,0.01,47982838,1073741824,740,126,28700,61400,12
1770115830,startup,imgA,0.00,57891881,1073741824,782,126,463000,20700000,12
1770115830,startup,imgB,0.00,47982838,1073741824,740,126,28700,61400,12
1770115832,startup,imgA,0.00,57891881,1073741824,782,126,463000,20700000,12
1770115832,startup,imgB,0.00,47982838,1073741824,740,126,28700,61400,12
1770115835,startup,imgA,3.99,58101596,1073741824,852,126,463000,20700000,12
1770115835,startup,imgB,0.00,47982838,1073741824,810,126,28700,61400,12
1770115838,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115838,startup,imgB,0.00,48402268,1073741824,810,126,28700,61400,12
1770115841,startup,imgA,0.01,58101596,1073741824,852,126,463000,20700000,12
1770115841,startup,imgB,0.00,48402268,1073741824,810,126,28700,61400,12
1770115843,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115843,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115846,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115846,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115849,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115849,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115853,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115853,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115856,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115856,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115859,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115859,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115862,startup,imgA,0.00,58101596,1073741824,852,126,463000,20700000,12
1770115862,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115865,startup,imgA,4.03,58185482,1073741824,922,126,463000,20700000,12
1770115865,startup,imgB,0.00,48412754,1073741824,810,126,28700,61400,12
1770115868,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115868,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115871,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115871,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115873,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115873,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115876,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115876,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115879,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115879,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115882,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115882,startup,imgB,0.01,48507126,1073741824,880,126,28700,61400,12
1770115885,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115885,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115888,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115888,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115891,startup,imgA,0.00,58185482,1073741824,922,126,463000,20700000,12
1770115891,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115894,startup,imgA,3.70,58279854,1073741824,922,126,463000,20700000,12
1770115894,startup,imgB,0.00,48507126,1073741824,880,126,28700,61400,12
1770115897,startup,imgA,0.00,58269368,1073741824,922,126,463000,20700000,12
1770115897,startup,imgB,0.00,48601498,1073741824,880,126,28700,61400,12
1770115901,startup,imgA,0.00,58269368,1073741824,922,126,463000,20700000,12
1770115901,startup,imgB,0.00,48601498,1073741824,880,126,28700,61400,12
1770115904,startup,imgA,0.00,58269368,1073741824,922,126,463000,20700000,12
1770115904,startup,imgB,0.00,48601498,1073741824,880,126,28700,61400,12
1770115907,startup,imgA,0.00,58269368,1073741824,922,126,463000,20700000,12
1770115907,startup,imgB,0.00,48601498,1073741824,880,126,28700,61400,12
1770115909,startup,imgA,0.00,58269368,1073741824,922,126,463000,20700000,12
1770115909,startup,imgB,0.00,48601498,1073741824,880,126,28700,61400,12
