epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770116402,startup,imgA,37.01,59527660,1073741824,350,84,123000,4100,12
1770116402,startup,imgB,64.04,56623104,1073741824,308,84,0,0,12
1770116404,startup,imgA,0.01,62463672,1073741824,642,126,123000,4100,12
1770116404,startup,imgB,0.00,56623104,1073741824,600,126,0,0,12
1770116407,startup,imgA,0.01,62589501,1073741824,712,126,123000,4100,12
1770116407,startup,imgB,0.01,56623104,1073741824,670,126,0,0,12
1770116410,startup,imgA,0.00,53907292,1073741824,712,126,123000,4100,12
1770116410,startup,imgB,4.18,49041900,1073741824,670,126,0,0,12
1770116413,startup,imgA,0.00,53907292,1073741824,712,126,123000,4100,12
1770116413,startup,imgB,0.00,48119153,1073741824,670,126,0,0,12
1770116416,startup,imgA,0.03,53907292,1073741824,782,126,123000,4100,12
1770116416,startup,imgB,0.00,48119153,1073741824,740,126,0,0,12
1770116419,startup,imgA,0.00,53907292,1073741824,782,126,123000,4100,12
1770116419,startup,imgB,0.00,48119153,1073741824,740,126,0,0,12
1770116422,startup,imgA,0.00,53907292,1073741824,782,126,123000,4100,12
1770116422,startup,imgB,0.01,48119153,1073741824,740,126,0,0,12
1770116425,startup,imgA,0.00,53907292,1073741824,782,126,123000,4100,12
1770116425,startup,imgB,0.00,48119153,1073741824,740,126,0,0,12
1770116428,startup,imgA,0.00,53907292,1073741824,852,126,123000,4100,12
1770116428,startup,imgB,0.00,48119153,1073741824,740,126,0,0,12
1770116432,startup,imgA,0.00,54096036,1073741824,852,126,123000,4100,12
1770116432,startup,imgB,4.30,48570040,1073741824,740,126,0,0,12
1770116435,startup,imgA,0.00,54096036,1073741824,852,126,123000,4100,12
1770116435,startup,imgB,0.00,48570040,1073741824,810,126,0,0,12
1770116438,startup,imgA,0.00,54096036,1073741824,936,126,123000,4100,12
1770116438,startup,imgB,0.03,48570040,1073741824,810,126,0,0,12
1770116441,startup,imgA,0.00,54096036,1073741824,1020,126,123000,4100,12
1770116441,startup,imgB,0.00,48570040,1073741824,978,126,0,0,12
1770116444,startup,imgA,0.00,54096036,1073741824,1020,126,123000,4100,12
