epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1769943535,startup,imgA,19.99,67884810,1073741824,642,126,213000,4100,12
1769943535,startup,imgB,101.32,47877980,1073741824,308,84,0,0,12
1769943538,startup,imgA,0.00,69856133,1073741824,642,126,213000,4100,12
1769943538,startup,imgB,0.00,56507761,1073741824,600,126,0,0,12
1769943540,startup,imgA,0.00,70013420,1073741824,712,126,213000,4100,12
1769943540,startup,imgB,0.01,56507761,1073741824,670,126,0,0,12
1769943543,startup,imgA,9.13,61960356,1073741824,712,126,213000,4100,12
1769943543,startup,imgB,6.73,49010442,1073741824,670,126,0,0,12
1769943546,startup,imgA,0.00,61960356,1073741824,712,126,213000,4100,12
1769943546,startup,imgB,0.00,48087695,1073741824,740,126,0,0,12
1769943550,startup,imgA,0.00,61960356,1073741824,782,126,213000,4100,12
1769943550,startup,imgB,0.06,48098181,1073741824,740,126,0,0,12
1769943553,startup,imgA,0.00,61960356,1073741824,782,126,213000,4100,12
1769943553,startup,imgB,0.00,48098181,1073741824,740,126,0,0,12
1769943555,startup,imgA,0.01,61960356,1073741824,782,126,213000,4100,12
1769943555,startup,imgB,0.00,48098181,1073741824,740,126,0,0,12
1769943558,startup,imgA,0.00,61960356,1073741824,782,126,213000,4100,12
1769943558,startup,imgB,0.00,48098181,1073741824,740,126,0,0,12
1769943561,startup,imgA,0.00,61960356,1073741824,782,126,213000,4100,12
1769943561,startup,imgB,0.00,48098181,1073741824,810,126,0,0,12
1769943564,startup,imgA,0.09,62138614,1073741824,782,126,213000,4100,12
1769943564,startup,imgB,9.63,48517612,1073741824,810,126,0,0,12
1769943567,startup,imgA,0.00,62138614,1073741824,782,126,213000,4100,12
1769943567,startup,imgB,0.00,48528097,1073741824,810,126,0,0,12
1769943569,startup,imgA,0.02,62138614,1073741824,852,126,213000,4100,12
1769943569,startup,imgB,0.00,48528097,1073741824,810,126,0,0,12
1769943573,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943573,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943576,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943576,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943579,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943579,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943582,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943582,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943585,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943585,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943588,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943588,startup,imgB,0.00,48538583,1073741824,810,126,0,0,12
1769943591,startup,imgA,0.00,62138614,1073741824,852,126,213000,4100,12
1769943591,startup,imgB,0.00,48538583,1073741824,880,126,0,0,12
1769943594,startup,imgA,7.88,62201528,1073741824,852,126,213000,4100,12
1769943594,startup,imgB,0.09,48632955,1073741824,880,126,0,0,12
1769943598,startup,imgA,0.00,62201528,1073741824,852,126,213000,4100,12
1769943598,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943601,startup,imgA,0.00,62201528,1073741824,852,126,213000,4100,12
1769943601,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943604,startup,imgA,0.00,62201528,1073741824,852,126,213000,4100,12
1769943604,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943607,startup,imgA,0.00,62201528,1073741824,922,126,213000,4100,12
1769943607,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943610,startup,imgA,0.03,62201528,1073741824,922,126,213000,4100,12
1769943610,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943613,startup,imgA,0.00,62201528,1073741824,922,126,213000,4100,12
1769943613,startup,imgB,0.00,48632955,1073741824,880,126,0,0,12
1769943616,startup,imgA,0.00,62201528,1073741824,922,126,213000,4100,12
