epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1769946490,startup,imgA,103.05,69384274,1073741824,510,84,0,20700000,12
1769946490,startup,imgB,31.30,56235131,1073741824,510,126,0,61400,12
1769946493,startup,imgA,0.01,73211576,1073741824,642,126,0,20700000,12
1769946493,startup,imgB,0.00,56235131,1073741824,600,126,0,61400,12
1769946496,startup,imgA,0.00,73358377,1073741824,712,126,0,20700000,12
1769946496,startup,imgB,0.00,56235131,1073741824,670,126,0,61400,12
1769946500,startup,imgA,0.00,66028831,1073741824,712,126,0,20700000,12
1769946500,startup,imgB,6.86,47972352,1073741824,670,126,0,61400,12
1769946503,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946503,startup,imgB,0.00,47972352,1073741824,670,126,0,61400,12
1769946506,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946506,startup,imgB,0.04,47972352,1073741824,740,126,0,61400,12
1769946509,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946509,startup,imgB,0.00,47972352,1073741824,740,126,0,61400,12
1769946512,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946512,startup,imgB,0.00,47972352,1073741824,740,126,0,61400,12
1769946515,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946515,startup,imgB,0.00,47972352,1073741824,740,126,0,61400,12
1769946518,startup,imgA,0.00,66028831,1073741824,782,126,0,20700000,12
1769946518,startup,imgB,10.36,48360325,1073741824,810,126,0,61400,12
1769946521,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946521,startup,imgB,0.06,48360325,1073741824,810,126,0,61400,12
1769946525,startup,imgA,0.02,66238546,1073741824,852,126,0,20700000,12
1769946525,startup,imgB,0.00,48360325,1073741824,810,126,0,61400,12
1769946528,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946528,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946531,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946531,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946534,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946534,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946536,startup,imgA,0.02,66238546,1073741824,852,126,0,20700000,12
1769946536,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946539,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946539,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946542,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946542,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946545,startup,imgA,0.00,66238546,1073741824,852,126,0,20700000,12
1769946545,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946549,startup,imgA,8.38,66332918,1073741824,852,126,0,20700000,12
1769946549,startup,imgB,0.00,48370811,1073741824,810,126,0,61400,12
1769946552,startup,imgA,0.00,66332918,1073741824,852,126,0,20700000,12
1769946552,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946555,startup,imgA,0.00,66332918,1073741824,852,126,0,20700000,12
1769946555,startup,imgB,0.02,48465183,1073741824,880,126,0,61400,12
1769946558,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946558,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946561,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946561,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946564,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946564,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946567,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946567,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946570,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946570,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946574,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946574,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946577,startup,imgA,0.00,66322432,1073741824,922,126,0,20700000,12
1769946577,startup,imgB,0.00,48465183,1073741824,880,126,0,61400,12
1769946580,startup,imgA,8.84,66406318,1073741824,922,126,0,20700000,12
1769946580,startup,imgB,0.04,48549069,1073741824,880,126,0,61400,12
1769946583,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946583,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946586,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946586,startup,imgB,0.02,48549069,1073741824,880,126,0,61400,12
1769946589,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946589,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946592,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946592,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946594,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946594,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946598,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946598,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946601,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946601,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946603,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946603,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946606,startup,imgA,0.00,66406318,1073741824,922,126,0,20700000,12
1769946606,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946609,startup,imgA,2.22,68052582,1073741824,922,126,0,20700000,18
1769946609,startup,imgB,0.00,48549069,1073741824,880,126,0,61400,12
1769946611,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946611,startup,imgB,0.08,48643441,1073741824,880,126,0,61400,12
1769946614,startup,imgA,0.01,66479718,1073741824,922,126,0,20700000,12
1769946614,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946617,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946617,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946620,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946620,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946624,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946624,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946627,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946627,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946629,startup,imgA,0.00,66479718,1073741824,922,126,0,20700000,12
1769946629,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946632,startup,imgA,0.00,66479718,1073741824,992,126,0,20700000,12
1769946632,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946635,startup,imgA,0.00,66479718,1073741824,992,126,0,20700000,12
1769946635,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946638,startup,imgA,7.71,66668462,1073741824,992,126,0,20700000,12
1769946638,startup,imgB,0.00,48643441,1073741824,950,126,0,61400,12
1769946641,startup,imgA,0.00,66657976,1073741824,992,126,0,20700000,12
1769946641,startup,imgB,0.08,48727327,1073741824,950,126,0,61400,12
1769946644,startup,imgA,0.01,66657976,1073741824,992,126,0,20700000,12
1769946644,startup,imgB,0.00,48727327,1073741824,950,126,0,61400,12
1769946648,startup,imgA,0.00,66657976,1073741824,992,126,0,20700000,12
1769946648,startup,imgB,0.00,48727327,1073741824,950,126,0,61400,12
1769946651,startup,imgA,0.00,66657976,1073741824,992,126,0,20700000,12
1769946651,startup,imgB,0.00,48727327,1073741824,950,126,0,61400,12
1769946654,startup,imgA,0.00,66657976,1073741824,992,126,0,20700000,12
1769946654,startup,imgB,0.00,48727327,1073741824,950,126,0,61400,12
1769946657,startup,imgA,0.00,66657976,1073741824,992,126,0,20700000,12
