epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770571013,startup,imgA,38.22,62316872,1073741824,350,84,0,13000000,12
1770571013,startup,imgB,0.00,56969134,1073741824,510,126,0,61400,12
1770571016,startup,imgA,0.45,65525514,1073741824,642,126,0,13000000,12
1770571016,startup,imgB,0.00,56969134,1073741824,600,126,0,61400,12
1770571019,startup,imgA,0.02,65525514,1073741824,712,126,0,13000000,12
1770571019,startup,imgB,0.00,56969134,1073741824,670,126,0,61400,12
1770571022,startup,imgA,0.00,56392417,1073741824,712,126,0,13000000,12
1770571022,startup,imgB,3.49,48098181,1073741824,670,126,0,61400,12
1770571025,startup,imgA,0.00,56392417,1073741824,782,126,0,13000000,12
1770571025,startup,imgB,0.00,48098181,1073741824,670,126,0,61400,12
1770571029,startup,imgA,0.00,56392417,1073741824,782,126,0,13000000,12
1770571029,startup,imgB,0.02,48098181,1073741824,740,126,0,61400,12
1770571032,startup,imgA,0.01,56392417,1073741824,782,126,0,13000000,12
1770571032,startup,imgB,0.00,48098181,1073741824,740,126,0,61400,12
1770571035,startup,imgA,0.00,56392417,1073741824,782,126,0,13000000,12
1770571035,startup,imgB,0.00,48098181,1073741824,740,126,0,61400,12
1770571038,startup,imgA,0.00,56392417,1073741824,782,126,0,13000000,12
1770571038,startup,imgB,0.00,48098181,1073741824,740,126,0,61400,12
1770571041,startup,imgA,0.00,56392417,1073741824,852,126,0,13000000,12
1770571041,startup,imgB,0.00,48098181,1073741824,740,126,0,61400,12
1770571044,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571044,startup,imgB,0.04,48528097,1073741824,810,126,0,61400,12
1770571046,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571046,startup,imgB,0.00,48528097,1073741824,810,126,0,61400,12
1770571049,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571049,startup,imgB,0.04,48538583,1073741824,810,126,0,61400,12
1770571052,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571052,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571055,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571055,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571057,startup,imgA,0.02,56602132,1073741824,852,126,0,13000000,12
1770571057,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571060,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571060,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571063,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571063,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571066,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571066,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571069,startup,imgA,0.00,56602132,1073741824,852,126,0,13000000,12
1770571069,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571071,startup,imgA,3.85,56686019,1073741824,922,126,0,13000000,12
1770571071,startup,imgB,0.00,48538583,1073741824,810,126,0,61400,12
1770571074,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571074,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571078,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571078,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571080,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571080,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571083,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571083,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571086,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571086,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571089,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571089,startup,imgB,0.01,48632955,1073741824,880,126,0,61400,12
1770571092,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571092,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571095,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571095,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571098,startup,imgA,0.00,56686019,1073741824,922,126,0,13000000,12
1770571098,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571101,startup,imgA,2.41,65210941,1073741824,922,126,0,13000000,19
1770571101,startup,imgB,0.00,48632955,1073741824,880,126,0,61400,12
1770571104,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571104,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571107,startup,imgA,0.02,56769905,1073741824,922,126,0,13000000,12
1770571107,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571110,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571110,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571113,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571113,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571116,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571116,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571119,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571119,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571122,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571122,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571125,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571125,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571129,startup,imgA,0.00,56769905,1073741824,922,126,0,13000000,12
1770571129,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571132,startup,imgA,3.71,56832819,1073741824,922,126,0,13000000,12
1770571132,startup,imgB,0.00,48737812,1073741824,880,126,0,61400,12
1770571135,startup,imgA,0.00,56832819,1073741824,922,126,0,13000000,12
1770571135,startup,imgB,0.00,48832184,1073741824,950,126,0,61400,12
1770571138,startup,imgA,0.00,56832819,1073741824,922,126,0,13000000,12
1770571138,startup,imgB,0.01,49094328,1073741824,950,126,0,61400,12
1770571141,startup,imgA,0.00,56832819,1073741824,992,126,0,13000000,12
