epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770573346,startup,imgA,5.82,62138614,1073741824,642,126,0,4100,12
1770573346,startup,imgB,73.08,60481864,1073741824,308,84,0,0,12
1770573349,startup,imgA,0.01,62138614,1073741824,642,126,0,4100,12
1770573349,startup,imgB,0.00,60471378,1073741824,600,126,0,0,12
1770573351,startup,imgA,0.01,62264443,1073741824,712,126,0,4100,12
1770573351,startup,imgB,0.00,60471378,1073741824,670,126,0,0,12
1770573354,startup,imgA,0.00,53204746,1073741824,712,126,0,4100,12
1770573354,startup,imgB,3.77,51894026,1073741824,670,126,0,0,12
1770573357,startup,imgA,0.00,53204746,1073741824,782,126,0,4100,12
1770573357,startup,imgB,0.00,50059018,1073741824,670,126,0,0,12
1770573360,startup,imgA,0.00,53204746,1073741824,782,126,0,4100,12
1770573360,startup,imgB,0.07,49954161,1073741824,740,126,0,0,12
1770573363,startup,imgA,0.00,53215232,1073741824,782,126,0,4100,12
1770573363,startup,imgB,0.00,49954161,1073741824,740,126,0,0,12
1770573366,startup,imgA,0.00,53215232,1073741824,782,126,0,4100,12
1770573366,startup,imgB,0.01,49954161,1073741824,740,126,0,0,12
1770573369,startup,imgA,0.00,53215232,1073741824,782,126,0,4100,12
1770573369,startup,imgB,0.00,49954161,1073741824,740,126,0,0,12
1770573372,startup,imgA,0.00,53215232,1073741824,782,126,0,4100,12
1770573372,startup,imgB,0.00,49954161,1073741824,740,126,0,0,12
1770573374,startup,imgA,3.84,53393490,1073741824,852,126,0,4100,12
1770573374,startup,imgB,0.00,49954161,1073741824,810,126,0,0,12
1770573377,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573377,startup,imgB,0.00,50373591,1073741824,810,126,0,0,12
1770573380,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573380,startup,imgB,0.00,50373591,1073741824,810,126,0,0,12
1770573383,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573383,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573386,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573386,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573390,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573390,startup,imgB,0.02,50384077,1073741824,810,126,0,0,12
1770573393,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573393,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573396,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573396,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573398,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573398,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573401,startup,imgA,0.00,53393490,1073741824,852,126,0,4100,12
1770573401,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573404,startup,imgA,4.26,53477376,1073741824,922,126,0,4100,12
1770573404,startup,imgB,0.00,50384077,1073741824,810,126,0,0,12
1770573407,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573407,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573410,startup,imgA,0.02,53477376,1073741824,922,126,0,4100,12
1770573410,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573413,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573413,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573416,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573416,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573419,startup,imgA,0.02,53477376,1073741824,922,126,0,4100,12
1770573419,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573422,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573422,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573425,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573425,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573427,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573427,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573430,startup,imgA,0.00,53477376,1073741824,922,126,0,4100,12
1770573430,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573433,startup,imgA,3.73,53571748,1073741824,922,126,0,4100,12
1770573433,startup,imgB,0.00,50478449,1073741824,880,126,0,0,12
1770573437,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573437,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573440,startup,imgA,0.01,53571748,1073741824,922,126,0,4100,12
1770573440,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573443,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573443,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573446,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573446,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573449,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573449,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573452,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573452,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573455,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573455,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573458,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573458,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573461,startup,imgA,0.00,53571748,1073741824,922,126,0,4100,12
1770573461,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573464,startup,imgA,4.10,53634662,1073741824,992,126,0,4100,12
1770573464,startup,imgB,0.00,50583306,1073741824,880,126,0,0,12
1770573467,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573467,startup,imgB,0.00,50646221,1073741824,880,126,0,0,12
1770573470,startup,imgA,0.02,53634662,1073741824,992,126,0,4100,12
1770573470,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573473,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573473,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573476,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573476,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573479,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573479,startup,imgB,0.01,50646221,1073741824,950,126,0,0,12
1770573483,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573483,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573485,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573485,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573488,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573488,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573491,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573491,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573494,startup,imgA,0.00,53634662,1073741824,992,126,0,4100,12
1770573494,startup,imgB,0.00,50646221,1073741824,950,126,0,0,12
1770573496,startup,imgA,0.00,53833892,1073741824,992,126,0,4100,12
