epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770458181,startup,imgA,83.83,59045315,1073741824,600,84,139000,4100,12
1770458181,startup,imgB,103.40,48496640,1073741824,308,84,20500,0,12
1770458183,startup,imgA,0.11,61687726,1073741824,642,126,139000,4100,12
1770458183,startup,imgB,0.00,60733522,1073741824,600,126,24600,0,12
1770458185,startup,imgA,1.17,62788731,1073741824,712,126,139000,4100,12
1770458185,startup,imgB,0.01,60733522,1073741824,670,126,24600,0,12
1770458189,startup,imgA,14.66,54525952,1073741824,712,126,139000,4100,12
1770458189,startup,imgB,0.00,60733522,1073741824,670,126,24600,0,12
1770458192,startup,imgA,0.00,54347694,1073741824,712,126,139000,4100,12
1770458192,startup,imgB,0.00,50405048,1073741824,670,126,24600,0,12
1770458195,startup,imgA,0.00,54347694,1073741824,782,126,139000,4100,12
1770458195,startup,imgB,0.00,50405048,1073741824,740,126,24600,0,12
1770458198,startup,imgA,0.00,54347694,1073741824,782,126,139000,4100,12
1770458198,startup,imgB,0.00,50289705,1073741824,740,126,24600,0,12
1770458201,startup,imgA,0.00,54347694,1073741824,782,126,139000,4100,12
1770458201,startup,imgB,0.00,50289705,1073741824,740,126,24600,0,12
1770458204,startup,imgA,0.00,54347694,1073741824,782,126,139000,4100,12
1770458204,startup,imgB,0.00,50289705,1073741824,740,126,24600,0,12
1770458206,startup,imgA,0.00,54347694,1073741824,852,126,139000,4100,12
1770458206,startup,imgB,0.00,50289705,1073741824,740,126,24600,0,12
1770458209,startup,imgA,8.47,54536438,1073741824,852,126,139000,4100,12
1770458209,startup,imgB,0.00,50289705,1073741824,740,126,24600,0,12
1770458213,startup,imgA,0.00,54536438,1073741824,852,126,139000,4100,12
1770458213,startup,imgB,0.00,50709135,1073741824,810,126,24600,0,12
1770458216,startup,imgA,0.02,54536438,1073741824,852,126,139000,4100,12
1770458216,startup,imgB,0.00,50709135,1073741824,810,126,24600,0,12
1770458219,startup,imgA,0.00,54536438,1073741824,852,126,139000,4100,12
1770458219,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458222,startup,imgA,0.00,54536438,1073741824,852,126,139000,4100,12
1770458222,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458225,startup,imgA,0.00,54536438,1073741824,852,126,139000,4100,12
1770458225,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458228,startup,imgA,0.00,54546924,1073741824,852,126,139000,4100,12
1770458228,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458231,startup,imgA,0.00,54546924,1073741824,852,126,139000,4100,12
1770458231,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458235,startup,imgA,0.00,54546924,1073741824,852,126,139000,4100,12
1770458235,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458238,startup,imgA,0.00,54546924,1073741824,922,126,139000,4100,12
1770458238,startup,imgB,0.00,50719621,1073741824,810,126,24600,0,12
1770458241,startup,imgA,8.64,54630810,1073741824,922,126,139000,4100,12
1770458241,startup,imgB,0.07,50824479,1073741824,880,126,24600,0,12
1770458244,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458244,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458247,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458247,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458250,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458250,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458253,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458253,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458256,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458256,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458260,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458260,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458262,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458262,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458264,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458264,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458267,startup,imgA,0.00,54630810,1073741824,922,126,139000,4100,12
1770458267,startup,imgB,0.00,50824479,1073741824,880,126,24600,0,12
1770458270,startup,imgA,6.39,64487424,1073741824,922,126,139000,4100,19
1770458270,startup,imgB,8.72,50918851,1073741824,880,126,24600,0,12
1770458273,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458273,startup,imgB,0.00,50929336,1073741824,880,126,24600,0,12
1770458276,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458276,startup,imgB,0.00,50929336,1073741824,880,126,24600,0,12
1770458279,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458279,startup,imgB,0.00,50929336,1073741824,880,126,24600,0,12
1770458283,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458283,startup,imgB,0.00,50929336,1073741824,880,126,24600,0,12
1770458286,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458286,startup,imgB,0.02,50929336,1073741824,880,126,24600,0,12
1770458289,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
1770458289,startup,imgB,0.00,50929336,1073741824,880,126,24600,0,12
1770458292,startup,imgA,0.00,54714696,1073741824,922,126,139000,4100,12
