epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1770459529,startup,imgA,83.96,63029903,1073741824,510,84,0,20700000,12
1770459529,startup,imgB,24.41,56832819,1073741824,600,126,28700,61400,12
1770459532,startup,imgA,0.74,66720891,1073741824,712,126,0,20700000,12
1770459532,startup,imgB,0.00,56832819,1073741824,600,126,28700,61400,12
1770459535,startup,imgA,0.02,66720891,1073741824,712,126,0,20700000,12
1770459535,startup,imgB,0.00,56832819,1073741824,670,126,28700,61400,12
1770459539,startup,imgA,0.00,57839452,1073741824,712,126,0,20700000,12
1770459539,startup,imgB,0.00,56832819,1073741824,670,126,28700,61400,12
1770459541,startup,imgA,0.00,57839452,1073741824,782,126,0,20700000,12
1770459541,startup,imgB,0.00,56832819,1073741824,670,126,28700,61400,12
1770459544,startup,imgA,0.05,57839452,1073741824,782,126,0,20700000,12
1770459544,startup,imgB,0.00,56832819,1073741824,740,126,28700,61400,12
1770459547,startup,imgA,0.00,57839452,1073741824,782,126,0,20700000,12
1770459547,startup,imgB,0.00,47951380,1073741824,740,126,28700,61400,12
1770459550,startup,imgA,0.00,57839452,1073741824,782,126,0,20700000,12
1770459550,startup,imgB,0.01,47951380,1073741824,740,126,28700,61400,12
1770459552,startup,imgA,0.00,57839452,1073741824,782,126,0,20700000,12
1770459552,startup,imgB,0.00,47951380,1073741824,740,126,28700,61400,12
1770459555,startup,imgA,0.00,57839452,1073741824,782,126,0,20700000,12
1770459555,startup,imgB,0.00,47951380,1073741824,740,126,28700,61400,12
1770459558,startup,imgA,0.04,58028196,1073741824,852,126,0,20700000,12
1770459558,startup,imgB,4.13,48381297,1073741824,740,126,28700,61400,12
1770459561,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459561,startup,imgB,0.00,48370811,1073741824,810,126,28700,61400,12
1770459564,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459564,startup,imgB,0.03,48381297,1073741824,810,126,28700,61400,12
1770459567,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459567,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459571,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459571,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459573,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459573,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459576,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459576,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459578,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459578,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459581,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459581,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459584,startup,imgA,0.00,58028196,1073741824,852,126,0,20700000,12
1770459584,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459587,startup,imgA,3.71,58154025,1073741824,852,126,0,20700000,12
1770459587,startup,imgB,0.00,48381297,1073741824,810,126,28700,61400,12
1770459590,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459590,startup,imgB,0.04,48486154,1073741824,810,126,28700,61400,12
1770459593,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459593,startup,imgB,0.00,48486154,1073741824,810,126,28700,61400,12
1770459596,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459596,startup,imgB,0.00,48486154,1073741824,810,126,28700,61400,12
1770459599,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459599,startup,imgB,0.00,48486154,1073741824,810,126,28700,61400,12
1770459601,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459601,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459604,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459604,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459607,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459607,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459610,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459610,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459613,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459613,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459616,startup,imgA,0.00,58122568,1073741824,922,126,0,20700000,12
1770459616,startup,imgB,0.00,48486154,1073741824,880,126,28700,61400,12
1770459620,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459620,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459623,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459623,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459626,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459626,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459629,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459629,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459632,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459632,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459634,startup,imgA,0.02,58195968,1073741824,922,126,0,20700000,12
1770459634,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459637,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459637,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459640,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459640,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459642,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459642,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459645,startup,imgA,0.00,58195968,1073741824,922,126,0,20700000,12
1770459645,startup,imgB,0.00,48580526,1073741824,880,126,28700,61400,12
1770459648,startup,imgA,3.94,58269368,1073741824,922,126,0,20700000,12
1770459648,startup,imgB,3.64,48695869,1073741824,880,126,28700,61400,12
1770459651,startup,imgA,0.00,58258883,1073741824,922,126,0,20700000,12
1770459651,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459654,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459654,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459657,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459657,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459660,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459660,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459663,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459663,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459666,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459666,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459670,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459670,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459673,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
1770459673,startup,imgB,0.00,48685384,1073741824,880,126,28700,61400,12
1770459676,startup,imgA,0.00,58258883,1073741824,992,126,0,20700000,12
