epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1769948653,startup,imgA,104.90,70223135,1073741824,510,84,0,20700000,12
1769948653,startup,imgB,25.86,56067359,1073741824,510,126,28700,61400,12
1769948656,startup,imgA,0.01,73106719,1073741824,642,126,0,20700000,12
1769948656,startup,imgB,0.00,56067359,1073741824,600,126,28700,61400,12
1769948659,startup,imgA,0.00,73243034,1073741824,712,126,0,20700000,12
1769948659,startup,imgB,0.00,56067359,1073741824,670,126,28700,61400,12
1769948662,startup,imgA,9.25,66039316,1073741824,712,126,0,20700000,12
1769948662,startup,imgB,0.00,47794094,1073741824,670,126,28700,61400,12
1769948666,startup,imgA,0.00,65903002,1073741824,782,126,0,20700000,12
1769948666,startup,imgB,0.00,47794094,1073741824,670,126,28700,61400,12
1769948669,startup,imgA,0.06,65903002,1073741824,782,126,0,20700000,12
1769948669,startup,imgB,0.00,47794094,1073741824,740,126,28700,61400,12
1769948672,startup,imgA,0.00,65903002,1073741824,782,126,0,20700000,12
1769948672,startup,imgB,0.00,47794094,1073741824,740,126,28700,61400,12
1769948675,startup,imgA,0.00,65903002,1073741824,782,126,0,20700000,12
1769948675,startup,imgB,0.00,47794094,1073741824,740,126,28700,61400,12
1769948678,startup,imgA,0.00,65903002,1073741824,782,126,0,20700000,12
1769948678,startup,imgB,0.00,47794094,1073741824,740,126,28700,61400,12
1769948680,startup,imgA,0.00,65903002,1073741824,782,126,0,20700000,12
1769948680,startup,imgB,0.00,47794094,1073741824,740,126,28700,61400,12
1769948683,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948683,startup,imgB,0.09,48213524,1073741824,740,126,28700,61400,12
1769948686,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948686,startup,imgB,0.00,48213524,1073741824,810,126,28700,61400,12
1769948690,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948690,startup,imgB,0.00,48224010,1073741824,810,126,28700,61400,12
1769948693,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948693,startup,imgB,0.00,48224010,1073741824,810,126,28700,61400,12
1769948696,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948696,startup,imgB,0.00,48224010,1073741824,810,126,28700,61400,12
1769948698,startup,imgA,0.03,66133688,1073741824,852,126,0,20700000,12
1769948698,startup,imgB,0.00,48224010,1073741824,810,126,28700,61400,12
1769948701,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948701,startup,imgB,0.00,48234496,1073741824,810,126,28700,61400,12
1769948704,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948704,startup,imgB,0.00,48234496,1073741824,810,126,28700,61400,12
1769948707,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948707,startup,imgB,0.00,48234496,1073741824,810,126,28700,61400,12
1769948709,startup,imgA,0.00,66133688,1073741824,852,126,0,20700000,12
1769948709,startup,imgB,0.00,48234496,1073741824,810,126,28700,61400,12
1769948713,startup,imgA,0.06,66217574,1073741824,852,126,0,20700000,12
1769948713,startup,imgB,7.82,48318382,1073741824,810,126,28700,61400,12
1769948716,startup,imgA,0.00,66217574,1073741824,922,126,0,20700000,12
1769948716,startup,imgB,0.00,48318382,1073741824,810,126,28700,61400,12
1769948719,startup,imgA,0.00,66217574,1073741824,922,126,0,20700000,12
1769948719,startup,imgB,0.00,48318382,1073741824,880,126,28700,61400,12
1769948722,startup,imgA,0.00,66217574,1073741824,922,126,0,20700000,12
1769948722,startup,imgB,0.00,48318382,1073741824,880,126,28700,61400,12
1769948725,startup,imgA,0.00,66217574,1073741824,922,126,0,20700000,12
1769948725,startup,imgB,0.00,48318382,1073741824,880,126,28700,61400,12
1769948728,startup,imgA,0.02,66217574,1073741824,922,126,0,20700000,12
1769948728,startup,imgB,0.00,48318382,1073741824,880,126,28700,61400,12
1769948731,startup,imgA,0.00,66217574,1073741824,922,126,0,20700000,12
