epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1769961448,startup,imgA,28.75,71900856,1073741824,642,126,0,20700000,12
1769961448,startup,imgB,101.14,50321162,1073741824,308,84,0,8190,12
1769961451,startup,imgA,0.00,73872179,1073741824,642,126,0,20700000,12
1769961451,startup,imgB,0.06,74627154,1073741824,600,126,0,32800,12
1769961453,startup,imgA,0.01,74029466,1073741824,712,126,0,20700000,12
1769961453,startup,imgB,0.01,74773955,1073741824,670,126,0,20700000,12
1769961457,startup,imgA,9.38,68073554,1073741824,712,126,0,20700000,12
1769961457,startup,imgB,18.56,67287122,1073741824,670,126,0,20700000,12
1769961460,startup,imgA,0.00,66815263,1073741824,712,126,0,20700000,12
1769961460,startup,imgB,0.00,67287122,1073741824,670,126,0,20700000,12
1769961463,startup,imgA,0.06,66815263,1073741824,782,126,0,20700000,12
1769961463,startup,imgB,0.00,67287122,1073741824,740,126,0,20700000,12
1769961466,startup,imgA,0.00,66815263,1073741824,782,126,0,20700000,12
1769961466,startup,imgB,0.00,67287122,1073741824,740,126,0,20700000,12
1769961469,startup,imgA,0.01,66815263,1073741824,782,126,0,20700000,12
1769961469,startup,imgB,0.00,67287122,1073741824,740,126,0,20700000,12
1769961472,startup,imgA,0.00,66815263,1073741824,782,126,0,20700000,12
1769961472,startup,imgB,0.00,67287122,1073741824,740,126,0,20700000,12
1769961475,startup,imgA,0.00,66815263,1073741824,782,126,0,20700000,12
1769961475,startup,imgB,0.00,67287122,1073741824,740,126,0,20700000,12
1769961478,startup,imgA,0.00,67014492,1073741824,852,126,0,20700000,12
1769961478,startup,imgB,0.01,67496837,1073741824,810,126,0,20700000,12
1769961481,startup,imgA,0.00,67014492,1073741824,852,126,0,20700000,12
1769961481,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961485,startup,imgA,0.00,67014492,1073741824,852,126,0,20700000,12
1769961485,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961488,startup,imgA,0.00,67014492,1073741824,852,126,0,20700000,12
1769961488,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961491,startup,imgA,0.00,67014492,1073741824,852,126,0,20700000,12
1769961491,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961493,startup,imgA,0.02,67024978,1073741824,852,126,0,20700000,12
1769961493,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961496,startup,imgA,0.00,67024978,1073741824,852,126,0,20700000,12
1769961496,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961499,startup,imgA,0.00,67024978,1073741824,852,126,0,20700000,12
1769961499,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961502,startup,imgA,0.00,67024978,1073741824,852,126,0,20700000,12
1769961502,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961506,startup,imgA,0.00,67024978,1073741824,852,126,0,20700000,12
1769961506,startup,imgB,0.00,67496837,1073741824,810,126,0,20700000,12
1769961509,startup,imgA,0.00,67108864,1073741824,852,126,0,20700000,12
1769961509,startup,imgB,0.00,67580723,1073741824,810,126,0,20700000,12
1769961512,startup,imgA,0.00,67108864,1073741824,852,126,0,20700000,12
1769961512,startup,imgB,0.00,67580723,1073741824,810,126,0,20700000,12
1769961515,startup,imgA,0.00,67108864,1073741824,852,126,0,20700000,12
1769961515,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961518,startup,imgA,0.00,67108864,1073741824,922,126,0,20700000,12
1769961518,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961521,startup,imgA,0.00,67108864,1073741824,922,126,0,20700000,12
1769961521,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961524,startup,imgA,0.02,67108864,1073741824,922,126,0,20700000,12
1769961524,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961527,startup,imgA,0.00,67108864,1073741824,922,126,0,20700000,12
1769961527,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961531,startup,imgA,0.00,67108864,1073741824,922,126,0,20700000,12
1769961531,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961534,startup,imgA,0.00,67108864,1073741824,922,126,0,20700000,12
1769961534,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961537,startup,imgA,8.68,67182264,1073741824,922,126,0,20700000,12
1769961537,startup,imgB,0.00,67580723,1073741824,880,126,0,20700000,12
1769961540,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961540,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961543,startup,imgA,0.02,67182264,1073741824,922,126,0,20700000,12
1769961543,startup,imgB,0.02,67664609,1073741824,880,126,0,20700000,12
1769961546,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961546,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961549,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961549,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961552,startup,imgA,0.02,67182264,1073741824,922,126,0,20700000,12
1769961552,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961556,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961556,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961558,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961558,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961561,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961561,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961564,startup,imgA,0.00,67182264,1073741824,922,126,0,20700000,12
1769961564,startup,imgB,0.00,67664609,1073741824,880,126,0,20700000,12
1769961567,startup,imgA,4.56,74868326,1073741824,922,126,0,20700000,18
1769961567,startup,imgB,7.90,67727524,1073741824,880,126,0,20700000,12
1769961570,startup,imgA,0.00,67255665,1073741824,922,126,0,20700000,12
1769961570,startup,imgB,0.00,67727524,1073741824,880,126,0,20700000,12
1769961573,startup,imgA,0.02,67255665,1073741824,922,126,0,20700000,12
1769961573,startup,imgB,0.02,67727524,1073741824,880,126,0,20700000,12
1769961576,startup,imgA,0.00,67255665,1073741824,922,126,0,20700000,12
1769961576,startup,imgB,0.00,67727524,1073741824,880,126,0,20700000,12
1769961580,startup,imgA,0.00,67255665,1073741824,922,126,0,20700000,12
1769961580,startup,imgB,0.00,67727524,1073741824,880,126,0,20700000,12
1769961583,startup,imgA,0.03,67255665,1073741824,922,126,0,20700000,12
1769961583,startup,imgB,0.00,67727524,1073741824,880,126,0,20700000,12
1769961586,startup,imgA,0.00,67255665,1073741824,992,126,0,20700000,12
1769961586,startup,imgB,0.00,67727524,1073741824,950,126,0,20700000,12
1769961589,startup,imgA,0.00,67255665,1073741824,992,126,0,20700000,12
1769961589,startup,imgB,0.00,67727524,1073741824,950,126,0,20700000,12
1769961592,startup,imgA,0.00,67255665,1073741824,992,126,0,20700000,12
1769961592,startup,imgB,0.00,67727524,1073741824,950,126,0,20700000,12
1769961595,startup,imgA,0.00,67255665,1073741824,992,126,0,20700000,12
1769961595,startup,imgB,0.00,67727524,1073741824,950,126,0,20700000,12
1769961598,startup,imgA,0.02,67433923,1073741824,992,126,0,20700000,12
1769961598,startup,imgB,0.08,67905782,1073741824,950,126,0,20700000,12
1769961601,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961601,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961605,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961605,startup,imgB,0.02,67905782,1073741824,950,126,0,20700000,12
1769961608,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961608,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961611,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961611,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961614,startup,imgA,0.02,67433923,1073741824,992,126,0,20700000,12
1769961614,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961616,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961616,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961619,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961619,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961622,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961622,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961625,startup,imgA,0.00,67433923,1073741824,992,126,0,20700000,12
1769961625,startup,imgB,0.00,67905782,1073741824,950,126,0,20700000,12
1769961628,startup,imgA,0.00,67496837,1073741824,992,126,0,20700000,12
1769961628,startup,imgB,7.57,67968696,1073741824,950,126,0,20700000,12
1769961632,regime,imgA,0.00,67496837,1073741824,992,126,0,20700000,12
1769961632,regime,imgB,0.00,67968696,1073741824,950,126,0,20700000,12
1769961638,regime,imgA,0.02,70348964,1073741824,6520,625,0,20700000,12
1769961638,regime,imgB,0.00,72655831,1073741824,6470,625,0,20700000,12
1769961645,regime,imgA,0.00,73704407,1073741824,28100,1170,0,20800000,12
1769961645,regime,imgB,0.02,81275126,1073741824,28000,1170,0,20800000,12
1769961653,regime,imgA,0.00,75235328,1073741824,52900,1720,0,20800000,12
1769961653,regime,imgB,0.01,82858476,1073741824,52900,1720,0,20800000,12
1769961660,regime,imgA,0.00,77563167,1073741824,90000,2330,0,20900000,12
1769961660,regime,imgB,0.02,86738207,1073741824,90000,2330,0,20900000,12
1769961667,regime,imgA,0.00,82648760,1073741824,142000,3080,0,21000000,12
1769961667,regime,imgB,0.04,87126180,1073741824,141000,3080,0,21000000,12
1769961675,regime,imgA,0.02,84357939,1073741824,202000,3820,0,21100000,12
1769961675,regime,imgB,0.00,88468357,1073741824,202000,3820,0,21100000,12
1769961682,regime,imgA,0.02,87314924,1073741824,268000,4570,0,21200000,12
1769961682,regime,imgB,0.00,89716163,1073741824,268000,4570,0,21200000,12
1769961690,regime,imgA,0.00,87639982,1073741824,338000,5310,0,21300000,12
1769961690,regime,imgB,0.06,92117402,1073741824,338000,5310,0,21300000,12
1769961697,regime,imgA,0.01,87797268,1073741824,425000,6060,0,21500000,12
1769961697,regime,imgB,0.00,98345943,1073741824,425000,6060,0,21500000,12
1769961704,regime,imgA,0.05,89779077,1073741824,515000,6800,0,21700000,12
1769961704,regime,imgB,0.00,98629059,1073741824,515000,6800,0,21700000,12
1769961712,regime,imgA,0.01,90062193,1073741824,617000,7550,0,21900000,12
