epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1769963791,startup,imgA,104.52,65053655,1073741824,510,84,0,4100,12
1769963791,startup,imgB,68.71,68891443,1073741824,600,126,0,0,12
1769963795,startup,imgA,0.00,70401393,1073741824,642,126,0,4100,12
1769963795,startup,imgB,0.02,70768394,1073741824,600,126,0,4100,12
1769963798,startup,imgA,0.04,70548193,1073741824,712,126,0,4100,12
1769963798,startup,imgB,0.01,70915195,1073741824,670,126,0,4100,12
1769963801,startup,imgA,0.00,62935532,1073741824,712,126,0,4100,12
1769963801,startup,imgB,0.00,70915195,1073741824,670,126,0,4100,12
1769963804,startup,imgA,0.00,62935532,1073741824,782,126,0,4100,12
1769963804,startup,imgB,0.00,70915195,1073741824,670,126,0,4100,12
1769963807,startup,imgA,0.05,62935532,1073741824,782,126,0,4100,12
1769963807,startup,imgB,10.68,64151880,1073741824,740,126,0,4100,12
1769963809,startup,imgA,0.00,62935532,1073741824,782,126,0,4100,12
1769963809,startup,imgB,0.00,62956503,1073741824,740,126,0,4100,12
1769963812,startup,imgA,0.00,62935532,1073741824,782,126,0,4100,12
1769963812,startup,imgB,0.01,62956503,1073741824,740,126,0,4100,12
1769963815,startup,imgA,0.00,62935532,1073741824,782,126,0,4100,12
1769963815,startup,imgB,0.00,62956503,1073741824,740,126,0,4100,12
1769963819,startup,imgA,0.00,62935532,1073741824,782,126,0,4100,12
1769963819,startup,imgB,0.00,62956503,1073741824,740,126,0,4100,12
1769963822,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963822,startup,imgB,0.02,63166218,1073741824,740,126,0,4100,12
1769963825,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963825,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963828,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963828,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963831,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963831,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963834,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963834,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963837,startup,imgA,0.03,63134761,1073741824,852,126,0,4100,12
1769963837,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963840,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963840,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963843,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963843,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963846,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963846,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963849,startup,imgA,0.00,63134761,1073741824,852,126,0,4100,12
1769963849,startup,imgB,0.00,63166218,1073741824,810,126,0,4100,12
1769963852,startup,imgA,0.00,63218647,1073741824,852,126,0,4100,12
1769963852,startup,imgB,0.03,63239619,1073741824,810,126,0,4100,12
1769963855,startup,imgA,0.00,63218647,1073741824,852,126,0,4100,12
1769963855,startup,imgB,0.00,63239619,1073741824,810,126,0,4100,12
1769963858,startup,imgA,0.00,63218647,1073741824,852,126,0,4100,12
1769963858,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963861,startup,imgA,0.00,63218647,1073741824,852,126,0,4100,12
1769963861,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963864,startup,imgA,0.00,63218647,1073741824,922,126,0,4100,12
1769963864,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963868,startup,imgA,0.02,63218647,1073741824,922,126,0,4100,12
1769963868,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963871,startup,imgA,0.00,63218647,1073741824,922,126,0,4100,12
1769963871,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963874,startup,imgA,0.00,63218647,1073741824,922,126,0,4100,12
1769963874,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963877,startup,imgA,0.00,63218647,1073741824,922,126,0,4100,12
1769963877,startup,imgB,0.00,63229133,1073741824,880,126,0,4100,12
1769963880,startup,imgA,0.00,63218647,1073741824,922,126,0,4100,12
1769963880,startup,imgB,8.29,63333990,1073741824,880,126,0,4100,12
1769963883,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963883,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963886,startup,imgA,0.02,63302533,1073741824,922,126,0,4100,12
1769963886,startup,imgB,0.04,63333990,1073741824,880,126,0,4100,12
1769963889,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963889,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963893,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963893,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963896,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963896,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963899,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963899,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963901,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963901,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963904,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963904,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963907,startup,imgA,0.00,63302533,1073741824,922,126,0,4100,12
1769963907,startup,imgB,0.00,63333990,1073741824,880,126,0,4100,12
1769963910,startup,imgA,4.51,69415731,1073741824,922,126,0,4100,18
1769963910,startup,imgB,8.77,63438848,1073741824,880,126,0,4100,12
1769963913,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963913,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963917,startup,imgA,0.02,63365448,1073741824,922,126,0,4100,12
1769963917,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963919,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963919,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963922,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963922,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963925,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963925,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963928,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963928,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963931,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963931,startup,imgB,0.00,63396905,1073741824,880,126,0,4100,12
1769963934,startup,imgA,0.00,63365448,1073741824,922,126,0,4100,12
1769963934,startup,imgB,0.00,63396905,1073741824,950,126,0,4100,12
1769963937,startup,imgA,0.00,63365448,1073741824,992,126,0,4100,12
1769963937,startup,imgB,0.00,63396905,1073741824,950,126,0,4100,12
1769963941,startup,imgA,0.00,63543706,1073741824,992,126,0,4100,12
1769963941,startup,imgB,0.00,63396905,1073741824,950,126,0,4100,12
